date,product_id,product_name,category,brand,cost,base_price,price,demand,revenue,profit,margin,competitor_price,stock,is_weekend,day_of_week,month,holiday_name,holiday_boost,elasticity,price_lag_7d,price_to_base,price_to_competitor,demand_lag_1d,demand_lag_7d,demand_lag_30d,stock_level,log_price_ratio,log_demand
2026-02-09,E001,Wireless Earbuds Pro,Electronics,SoundCore,18.0,49.99,50.73,51,2587.23,1669.23,64.52,53.47,102,0,0,2,Valentines Day,0.1286,-2.1,50.73,1.0148029605921183,0.9487563119506265,51.0,51.0,51.0,2.0,0.014694466153119484,3.9318256327243257
2026-02-10,E001,Wireless Earbuds Pro,Electronics,SoundCore,18.0,49.99,48.08,57,2740.56,1714.56,62.56,43.36,101,0,1,2,Valentines Day,0.1429,-2.1,49.405,0.9617923584716943,1.1088560885608856,51.0,54.0,54.0,2.0,-0.03895669519852688,4.04305126783455
2026-02-11,E001,Wireless Earbuds Pro,Electronics,SoundCore,18.0,49.99,49.31,61,3007.91,1909.91,63.5,42.8,97,0,2,2,Valentines Day,0.2,-2.1,49.373333333333335,0.9863972794558912,1.1521028037383179,57.0,56.333333333333336,56.333333333333336,2.0,-0.013696085189444254,4.110873864173311
2026-02-12,E001,Wireless Earbuds Pro,Electronics,SoundCore,18.0,49.99,44.88,73,3276.24,1962.24,59.89,45.22,41,0,3,2,Valentines Day,0.2,-2.1,48.25,0.8977795559111823,0.9924812030075189,61.0,60.5,60.5,1.0,-0.10783072421103804,4.290459441148391
2026-02-13,E001,Wireless Earbuds Pro,Electronics,SoundCore,18.0,49.99,44.78,60,2686.8,1606.8,59.8,48.97,72,0,4,2,Valentines Day,0.2,-2.1,47.556,0.8957791558311662,0.9144374106595875,73.0,60.4,60.4,1.0,-0.11006137425487028,4.0943445622221
2026-02-14,E001,Wireless Earbuds Pro,Electronics,SoundCore,18.0,49.99,41.98,96,4030.08,2302.08,57.12,46.87,5,1,5,2,Valentines Day,0.2,-2.1,46.626666666666665,0.8397679535907181,0.8956688713462769,60.0,66.33333333333333,66.33333333333333,0.0,-0.17462967103299212,4.564348191467836
2026-02-15,E001,Wireless Earbuds Pro,Electronics,SoundCore,18.0,49.99,45.06,79,3559.74,2137.74,60.05,45.49,43,1,6,2,Valentines Day,0.2,-2.1,46.402857142857144,0.9013802760552111,0.9905473730490217,96.0,68.14285714285714,68.14285714285714,1.0,-0.10382805042138056,4.3694478524670215
2026-02-16,E001,Wireless Earbuds Pro,Electronics,SoundCore,18.0,49.99,41.72,83,3462.76,1968.76,56.86,51.6,21,0,0,2,Valentines Day,0.2,-2.1,45.11571428571428,0.8345669133826765,0.8085271317829457,79.0,72.71428571428571,70.0,1.0,-0.18084235529290732,4.418840607796598
2026-02-17,E001,Wireless Earbuds Pro,Electronics,SoundCore,18.0,49.99,41.63,81,3372.03,1914.03,56.76,52.75,36,0,1,2,Valentines Day,0.2,-2.1,44.19428571428572,0.8327665533106622,0.7891943127962086,83.0,76.14285714285714,71.22222222222223,1.0,-0.18300192421859487,4.394449154672439
2026-02-18,E001,Wireless Earbuds Pro,Electronics,SoundCore,18.0,49.99,42.84,68,2913.12,1689.12,57.98,43.01,80,0,2,2,Valentines Day,0.1429,-2.1,43.269999999999996,0.8569713942788558,0.9960474308300397,81.0,77.14285714285714,70.9,1.0,-0.15435073984593092,4.219507705176107
